Ad_ID,Campaign_Name,Clicks,Impressions,"Cost,$",Leads,Conversions,Conversion Rate,"Sale_Amount,$",Ad_Date,Location,Device,Keyword
A1000,Corse,104.0,4498.0,231.88,14.0,7.0,6.730769230769231,1892.0,2024-11-16,Rostow-am-Don,desktop,learn data analytics
A1001,Corse,173.0,5107.0,216.84,10.0,8.0,4.624277456647398,1679.0,2024-11-20,Rostow-am-Don,mobile,data analytics course
A1002,Corse,90.0,4544.0,203.66,26.0,9.0,10.0,1624.0,2024-11-16,Rostow-am-Don,desktop,data analitics online
A1003,Corse,142.0,3185.0,237.66,17.0,6.0,4.225352112676056,1225.0,2024-11-26,Rostow-am-Don,tablet,data anaytics training
A1004,Corse,156.0,3361.0,195.9,30.0,8.0,5.128205128205128,1091.0,2024-11-22,Rostow-am-Don,desktop,online data analytic
A1005,Corse,195.0,3776.0,243.57,10.0,8.0,4.102564102564102,1315.0,2024-11-16,Rostow-am-Don,mobile,data anaytics training
A1006,Corse,116.0,4480.0,237.79,17.0,5.0,4.310344827586207,1640.0,2024-11-06,Rostow-am-Don,tablet,data analytics course
A1007,Corse,184.0,5060.0,229.61,23.0,3.0,1.6304347826086956,1509.0,2024-11-24,Rostow-am-Don,tablet,analytics for data
A1009,Corse,166.0,3355.0,186.78,24.0,9.0,5.421686746987952,1029.0,2024-11-12,Rostow-am-Don,mobile,online data analytic
A1010,Corse,101.0,5399.0,236.79,20.0,6.0,5.9405940594059405,1900.0,2024-11-14,Rostow-am-Don,desktop,learn data analytics
A1011,Corse,101.0,3613.0,208.12,24.0,5.0,4.9504950495049505,1130.0,2024-11-22,Rostow-am-Don,desktop,online data analytic
A1012,Corse,125.0,3259.0,191.3,18.0,3.0,2.4,1959.0,2024-11-27,Rostow-am-Don,desktop,data analitics online
A1013,Corse,196.0,3742.0,207.46,10.0,7.0,3.571428571428571,1623.0,2024-11-12,Rostow-am-Don,mobile,data anaytics training
A1014,Corse,181.0,4311.0,185.09,11.0,9.0,4.972375690607735,1538.0,2024-11-04,Rostow-am-Don,desktop,data anaytics training
A1015,Corse,102.0,5461.0,201.69,22.0,8.0,7.8431372549019605,1755.0,2024-11-29,Rostow-am-Don,desktop,data analytics course
A1017,Corse,149.0,4431.0,207.4,19.0,9.0,6.0402684563758395,1693.0,2024-11-12,Rostow-am-Don,mobile,learn data analytics
A1018,Corse,150.0,3113.0,217.41,20.0,5.0,3.3333333333333335,1785.0,2024-11-07,Rostow-am-Don,mobile,analytics for data
A1020,Corse,184.0,4143.0,223.3,10.0,10.0,5.434782608695652,1735.0,2024-11-21,Rostow-am-Don,tablet,learn data analytics
A1021,Corse,171.0,4154.0,184.23,30.0,7.0,4.093567251461988,1803.0,2024-11-08,Rostow-am-Don,tablet,data analitics online
A1022,Corse,122.0,5187.0,211.24,27.0,6.0,4.918032786885246,1322.0,2024-11-20,Rostow-am-Don,desktop,online data analytic
A1023,Corse,188.0,5798.0,230.17,28.0,5.0,2.6595744680851063,1452.0,2024-11-30,Rostow-am-Don,tablet,data analytics course
A1025,Corse,88.0,3349.0,181.92,22.0,8.0,9.090909090909092,1456.0,2024-11-20,Rostow-am-Don,tablet,learn data analytics
A1026,Corse,119.0,5323.0,205.92,17.0,10.0,8.403361344537815,1656.0,2024-11-02,Rostow-am-Don,desktop,online data analytic
A1028,Corse,128.0,5469.0,188.49,16.0,3.0,2.34375,1783.0,2024-11-23,Rostow-am-Don,mobile,learn data analytics
A1029,Corse,86.0,3351.0,237.75,21.0,9.0,10.465116279069768,1975.0,2024-11-13,Rostow-am-Don,mobile,analytics for data
A1030,Corse,188.0,4834.0,213.58,15.0,4.0,2.127659574468085,1590.0,2024-11-08,Rostow-am-Don,tablet,online data analytic
A1031,Corse,113.0,5065.0,212.37,11.0,5.0,4.424778761061947,1111.0,2024-11-22,Rostow-am-Don,desktop,online data analytic
A1033,Corse,176.0,5509.0,234.59,19.0,7.0,3.977272727272727,1710.0,2024-11-03,Rostow-am-Don,tablet,data analytics course
A1035,Corse,104.0,5275.0,236.48,16.0,9.0,8.653846153846153,1824.0,2024-11-01,Rostow-am-Don,desktop,data anaytics training
