Ad_ID,Campaign_Name,Clicks,Impressions,"Cost,$",Leads,Conversions,Conversion Rate,"Sale_Amount,$",Ad_Date,Location,Device,Keyword,CPM,CTR,CPC,CPS,ROI%
A1000,Corse,104.0,4498.0,231.88,14.0,7.0,6.730769230769231,1892.0,2024-11-16,Rostow-am-Don,desktop,learn data analytics,51.551800800355714,2.312138728323699,2.2296153846153848,33.12571428571429,715.9392789373813
A1001,Corse,173.0,5107.0,216.84,10.0,8.0,4.624277456647398,1679.0,2024-11-20,Rostow-am-Don,mobile,data analytics course,42.45936949285295,3.3875073428627376,1.2534104046242776,27.105,674.3036340158643
A1002,Corse,90.0,4544.0,203.66,26.0,9.0,10.0,1624.0,2024-11-16,Rostow-am-Don,desktop,data analitics online,44.81954225352113,1.9806338028169015,2.262888888888889,22.628888888888888,697.4074437788471
A1003,Corse,142.0,3185.0,237.66,17.0,6.0,4.225352112676056,1225.0,2024-11-26,Rostow-am-Don,tablet,data anaytics training,74.61852433281005,4.45839874411303,1.673661971830986,39.61,415.4422283935033
A1004,Corse,156.0,3361.0,195.9,30.0,8.0,5.128205128205128,1091.0,2024-11-22,Rostow-am-Don,desktop,online data analytic,58.286224337994646,4.641475751264505,1.2557692307692307,24.4875,456.9167942827973
A1005,Corse,195.0,3776.0,243.57,10.0,8.0,4.102564102564102,1315.0,2024-11-16,Rostow-am-Don,mobile,data anaytics training,64.50476694915254,5.164194915254237,1.249076923076923,30.44625,439.88586443322254
A1006,Corse,116.0,4480.0,237.79,17.0,5.0,4.310344827586207,1640.0,2024-11-06,Rostow-am-Don,tablet,data analytics course,53.078125,2.5892857142857144,2.0499137931034483,47.558,589.6841751124942
A1007,Corse,184.0,5060.0,229.61,23.0,3.0,1.6304347826086956,1509.0,2024-11-24,Rostow-am-Don,tablet,analytics for data,45.37747035573123,3.6363636363636362,1.2478804347826087,76.53666666666668,557.201341404991
A1009,Corse,166.0,3355.0,186.78,24.0,9.0,5.421686746987952,1029.0,2024-11-12,Rostow-am-Don,mobile,online data analytic,55.67213114754099,4.947839046199702,1.1251807228915662,20.753333333333334,450.91551557982655
A1010,Corse,101.0,5399.0,236.79,20.0,6.0,5.9405940594059405,1900.0,2024-11-14,Rostow-am-Don,desktop,learn data analytics,43.85812187442119,1.8707167994072977,2.3444554455445545,39.464999999999996,702.3987499472106
A1011,Corse,101.0,3613.0,208.12,24.0,5.0,4.950495049504951,1130.0,2024-11-22,Rostow-am-Don,desktop,online data analytic,57.603099916966514,2.795460835870468,2.0605940594059406,41.624,442.955986930617
A1012,Corse,125.0,3259.0,191.3,18.0,3.0,2.4,1959.0,2024-11-27,Rostow-am-Don,desktop,data analitics online,58.69898741945383,3.835532371893219,1.5304,63.76666666666667,924.0460010454783
A1013,Corse,196.0,3742.0,207.46,10.0,7.0,3.571428571428571,1623.0,2024-11-12,Rostow-am-Don,mobile,data anaytics training,55.44094067343667,5.23784072688402,1.0584693877551021,29.63714285714286,682.3194832738841
A1014,Corse,181.0,4311.0,185.09,11.0,9.0,4.972375690607735,1538.0,2024-11-04,Rostow-am-Don,desktop,data anaytics training,42.93435397819532,4.198561818603572,1.022596685082873,20.565555555555555,730.9471068129018
A1015,Corse,102.0,5461.0,201.69,22.0,8.0,7.84313725490196,1755.0,2024-11-29,Rostow-am-Don,desktop,data analytics course,36.93279619117377,1.867789782091192,1.9773529411764705,25.21125,770.1472556894244
A1017,Corse,149.0,4431.0,207.4,19.0,9.0,6.04026845637584,1693.0,2024-11-12,Rostow-am-Don,mobile,learn data analytics,46.80658993455202,3.3626720830512298,1.3919463087248323,23.044444444444444,716.2970106075217
A1018,Corse,150.0,3113.0,217.41,20.0,5.0,3.333333333333333,1785.0,2024-11-07,Rostow-am-Don,mobile,analytics for data,69.83938323160938,4.818503051718599,1.4494,43.482,721.0293914723334
A1020,Corse,184.0,4143.0,223.3,10.0,10.0,5.434782608695652,1735.0,2024-11-21,Rostow-am-Don,tablet,learn data analytics,53.89814144339851,4.4412261646150135,1.2135869565217392,22.330000000000002,676.9816390506046
